Simulation,Policy,nPublic,nPrivate,nCar,PatientProb,nPatient,nPublicSaved,nPrivateSaved,nCarSaved,nTotalSaved,nDead,nAlive,PublicCost,PrivateCost,TotalCost,DeathRate
SIMUL,1,4,1,10,0.05,266,264,0,1,265,0,1,20000,0,20000,0
SIMUL,1,4,1,10,0.05,258,255,0,3,258,0,0,20000,0,20000,0
SIMUL,1,4,1,10,0.05,272,268,0,2,270,0,2,20000,0,20000,0
SIMUL,1,4,1,10,0.05,258,253,0,3,256,0,2,20000,0,20000,0
SIMUL,1,4,1,10,0.05,244,241,0,2,243,0,1,20000,0,20000,0
SIMUL,1,4,1,10,0.05,265,262,0,3,265,0,0,20000,0,20000,0
SIMUL,1,4,1,10,0.05,261,256,1,3,260,0,1,20000,50,20050,0
SIMUL,1,4,1,10,0.05,232,231,0,1,232,0,0,20000,0,20000,0
SIMUL,1,4,1,10,0.05,237,235,0,0,235,0,2,20000,0,20000,0
SIMUL,1,4,1,10,0.05,275,272,1,1,274,0,1,20000,50,20050,0
SIMUL,1,4,1,10,0.05,232,231,0,1,232,0,0,20000,0,20000,0
SIMUL,1,4,1,10,0.05,250,247,0,2,249,0,1,20000,0,20000,0
SIMUL,1,4,1,10,0.05,252,246,1,4,251,0,1,20000,50,20050,0
SIMUL,1,4,1,10,0.05,253,249,0,3,252,0,1,20000,0,20000,0
SIMUL,1,4,1,10,0.05,210,210,0,0,210,0,0,20000,0,20000,0
SIMUL,1,4,1,10,0.05,253,252,1,0,253,0,0,20000,50,20050,0
SIMUL,1,4,1,10,0.05,240,237,0,3,240,0,0,20000,0,20000,0
SIMUL,1,4,1,10,0.05,242,238,0,3,241,0,1,20000,0,20000,0
SIMUL,1,4,1,10,0.05,241,235,0,4,239,0,2,20000,0,20000,0
SIMUL,1,4,1,10,0.05,252,249,0,3,252,0,0,20000,0,20000,0
SIMUL,1,4,1,10,0.05,283,272,2,7,281,0,2,20000,100,20100,0
SIMUL,1,4,1,10,0.05,254,253,0,0,253,0,1,20000,0,20000,0
SIMUL,1,4,1,10,0.05,281,278,0,2,280,0,1,20000,0,20000,0
SIMUL,1,4,1,10,0.05,236,235,0,1,236,0,0,20000,0,20000,0
SIMUL,1,4,1,10,0.05,237,231,2,3,236,0,1,20000,100,20100,0
SIMUL,1,4,1,10,0.1,492,453,2,32,487,0,5,20000,100,20100,0
SIMUL,1,4,1,10,0.1,547,504,4,37,545,0,2,20000,200,20200,0
SIMUL,1,4,1,10,0.1,474,447,3,22,472,0,2,20000,150,20150,0
SIMUL,1,4,1,10,0.1,512,469,5,35,509,0,3,20000,250,20250,0
SIMUL,1,4,1,10,0.1,491,455,5,29,489,0,2,20000,250,20250,0
SIMUL,1,4,1,10,0.1,475,454,2,14,470,0,5,20000,100,20100,0
SIMUL,1,4,1,10,0.1,522,474,9,35,518,0,4,20000,450,20450,0
SIMUL,1,4,1,10,0.1,541,471,11,51,533,0,8,20000,600,20600,0
SIMUL,1,4,1,10,0.1,451,432,0,16,448,0,3,20000,0,20000,0
SIMUL,1,4,1,10,0.1,497,464,5,27,496,0,1,20000,250,20250,0
SIMUL,1,4,1,10,0.1,486,452,3,28,483,0,3,20000,150,20150,0
SIMUL,1,4,1,10,0.1,492,447,7,37,491,0,1,20000,350,20350,0
SIMUL,1,4,1,10,0.1,498,457,2,37,496,0,2,20000,100,20100,0
SIMUL,1,4,1,10,0.1,505,457,6,40,503,0,2,20000,300,20300,0
SIMUL,1,4,1,10,0.1,497,464,5,27,496,0,1,20000,250,20250,0
SIMUL,1,4,1,10,0.1,447,423,3,16,442,0,5,20000,150,20150,0
SIMUL,1,4,1,10,0.1,476,436,6,32,474,0,2,20000,300,20300,0
SIMUL,1,4,1,10,0.1,503,465,3,30,498,0,5,20000,150,20150,0
SIMUL,1,4,1,10,0.1,498,452,8,35,495,0,3,20000,400,20400,0
SIMUL,1,4,1,10,0.1,477,431,5,37,473,0,4,20000,250,20250,0
SIMUL,1,4,1,10,0.1,488,441,8,35,484,0,4,20000,400,20400,0
SIMUL,1,4,1,10,0.1,508,476,3,25,504,0,4,20000,150,20150,0
SIMUL,1,4,1,10,0.1,518,475,9,33,517,0,1,20000,450,20450,0
SIMUL,1,4,1,10,0.1,494,462,1,29,492,0,2,20000,50,20050,0
SIMUL,1,4,1,10,0.1,496,464,6,24,494,0,2,20000,300,20300,0
SIMUL,1,4,1,10,0.15,746,597,28,115,740,0,6,20000,1400,21400,0
SIMUL,1,4,1,10,0.15,747,574,32,138,744,0,3,20000,1600,21600,0
SIMUL,1,4,1,10,0.15,735,597,20,109,726,0,9,20000,1050,21050,0
SIMUL,1,4,1,10,0.15,804,582,43,176,801,0,3,20000,2150,22150,0
SIMUL,1,4,1,10,0.15,735,594,24,114,732,0,3,20000,1200,21200,0
SIMUL,1,4,1,10,0.15,771,587,34,141,762,0,9,20000,1700,21700,0
SIMUL,1,4,1,10,0.15,790,639,17,128,784,0,6,20000,900,20900,0
SIMUL,1,4,1,10,0.15,745,559,42,141,742,0,3,20000,2100,22100,0
SIMUL,1,4,1,10,0.15,807,623,38,144,805,0,2,20000,1900,21900,0
SIMUL,1,4,1,10,0.15,775,602,23,143,768,0,7,20000,1200,21200,0
SIMUL,1,4,1,10,0.15,767,602,28,133,763,0,4,20000,1400,21400,0
SIMUL,1,4,1,10,0.15,749,589,33,126,748,0,1,20000,1700,21700,0
SIMUL,1,4,1,10,0.15,781,631,13,133,777,0,4,20000,650,20650,0
SIMUL,1,4,1,10,0.15,737,583,32,117,732,0,5,20000,1650,21650,0
SIMUL,1,4,1,10,0.15,735,580,28,123,731,0,4,20000,1400,21400,0
SIMUL,1,4,1,10,0.15,743,595,34,110,739,0,4,20000,1700,21700,0
SIMUL,1,4,1,10,0.15,749,613,24,112,749,0,0,20000,1200,21200,0
SIMUL,1,4,1,10,0.15,767,601,24,133,758,0,9,20000,1250,21250,0
SIMUL,1,4,1,10,0.15,704,580,24,100,704,0,0,20000,1200,21200,0
SIMUL,1,4,1,10,0.15,788,623,19,142,784,0,4,20000,950,20950,0
SIMUL,1,4,1,10,0.15,821,617,32,169,818,0,3,20000,1600,21600,0
SIMUL,1,4,1,10,0.15,725,593,21,110,724,0,1,20000,1050,21050,0
SIMUL,1,4,1,10,0.15,753,604,29,116,749,0,4,20000,1450,21450,0
SIMUL,1,4,1,10,0.15,761,586,42,127,755,0,6,20000,2100,22100,0
SIMUL,1,4,1,10,0.15,770,582,32,151,765,0,5,20000,1600,21600,0
SIMUL,1,4,1,10,0.2,955,647,62,236,945,0,10,20000,3150,23150,0
SIMUL,1,4,1,10,0.2,989,650,66,264,980,0,9,20000,3350,23350,0
SIMUL,1,4,1,10,0.2,1028,618,80,320,1018,0,10,20000,4000,24000,0
SIMUL,1,4,1,10,0.2,996,681,62,247,990,0,6,20000,3100,23100,0
SIMUL,1,4,1,10,0.2,998,670,58,261,989,0,9,20000,2950,22950,0
SIMUL,1,4,1,10,0.2,998,615,80,294,989,0,9,20000,4050,24050,0
SIMUL,1,4,1,10,0.2,955,656,53,234,943,0,12,20000,2700,22700,0
SIMUL,1,4,1,10,0.2,1010,617,86,298,1001,0,9,20000,4350,24350,0
SIMUL,1,4,1,10,0.2,978,664,67,241,972,0,6,20000,3350,23350,0
SIMUL,1,4,1,10,0.2,996,681,62,247,990,0,6,20000,3100,23100,0
SIMUL,1,4,1,10,0.2,966,637,74,247,958,0,8,20000,3700,23700,0
SIMUL,1,4,1,10,0.2,955,654,60,237,951,0,4,20000,3000,23000,0
SIMUL,1,4,1,10,0.2,1002,645,73,278,996,0,6,20000,3700,23700,0
SIMUL,1,4,1,10,0.2,979,620,78,274,972,0,7,20000,3950,23950,0
SIMUL,1,4,1,10,0.2,1011,630,77,297,1004,0,7,20000,3850,23850,0
SIMUL,1,4,1,10,0.2,999,658,64,266,988,0,11,20000,3250,23250,0
SIMUL,1,4,1,10,0.2,1036,643,79,305,1027,0,9,20000,3950,23950,0
SIMUL,1,4,1,10,0.2,994,641,63,283,987,0,7,20000,3150,23150,0
SIMUL,1,4,1,10,0.2,1044,658,87,290,1035,0,9,20000,4400,24400,0
SIMUL,1,4,1,10,0.2,1015,636,85,285,1006,0,9,20000,4250,24250,0
SIMUL,1,4,1,10,0.2,969,610,86,269,965,0,4,20000,4300,24300,0
SIMUL,1,4,1,10,0.2,984,675,55,250,980,0,4,20000,2750,22750,0
SIMUL,1,4,1,10,0.2,1033,652,80,293,1025,0,8,20000,4000,24000,0
SIMUL,1,4,1,10,0.2,970,684,46,229,959,0,11,20000,2350,22350,0
SIMUL,1,4,1,10,0.2,1030,670,75,278,1023,0,7,20000,3750,23750,0
SIMUL,1,4,1,10,0.25,1274,675,124,454,1253,0,21,20000,6250,26250,0
SIMUL,1,4,1,10,0.25,1241,662,113,460,1235,2,4,20000,5700,25700,0.001611604
SIMUL,1,4,1,10,0.25,1309,601,138,547,1286,12,11,20000,6950,26950,0.009167303
SIMUL,1,4,1,10,0.25,1252,647,129,464,1240,2,10,20000,6500,26500,0.001597444
SIMUL,1,4,1,10,0.25,1207,673,101,426,1200,0,7,20000,5050,25050,0
SIMUL,1,4,1,10,0.25,1291,654,123,500,1277,3,11,20000,6200,26200,0.00232378
SIMUL,1,4,1,10,0.25,1260,674,114,457,1245,0,15,20000,5750,25750,0
SIMUL,1,4,1,10,0.25,1235,630,117,475,1222,5,8,20000,5900,25900,0.004048583
SIMUL,1,4,1,10,0.25,1280,647,126,491,1264,3,13,20000,6350,26350,0.00234375
SIMUL,1,4,1,10,0.25,1269,670,117,470,1257,0,12,20000,5900,25900,0
SIMUL,1,4,1,10,0.25,1191,651,107,424,1182,1,8,20000,5400,25400,0.000839631
SIMUL,1,4,1,10,0.25,1234,666,102,450,1218,3,13,20000,5200,25200,0.002431118
SIMUL,1,4,1,10,0.25,1262,640,126,486,1252,1,9,20000,6350,26350,0.000792393
SIMUL,1,4,1,10,0.25,1257,628,114,498,1240,9,8,20000,5800,25800,0.007159905
SIMUL,1,4,1,10,0.25,1273,685,116,465,1266,2,5,20000,5850,25850,0.001571092
SIMUL,1,4,1,10,0.25,1274,633,112,509,1254,7,13,20000,5650,25650,0.005494505
SIMUL,1,4,1,10,0.25,1247,658,109,470,1237,1,9,20000,5500,25500,0.000801925
SIMUL,1,4,1,10,0.25,1245,674,111,444,1229,0,16,20000,5600,25600,0
SIMUL,1,4,1,10,0.25,1234,666,102,450,1218,3,13,20000,5200,25200,0.002431118
SIMUL,1,4,1,10,0.25,1273,629,133,505,1267,2,4,20000,6650,26650,0.001571092
SIMUL,1,4,1,10,0.25,1293,671,133,474,1278,0,15,20000,6700,26700,0
SIMUL,1,4,1,10,0.25,1250,621,134,485,1240,3,7,20000,6700,26700,0.0024
SIMUL,1,4,1,10,0.25,1225,653,115,443,1211,5,9,20000,5800,25800,0.004081633
SIMUL,1,4,1,10,0.25,1274,646,128,485,1259,4,11,20000,6450,26450,0.003139717
SIMUL,1,4,1,10,0.25,1241,650,118,459,1227,1,13,20000,5950,25950,0.000805802
SIMUL,1,4,1,10,0.3,1515,617,144,725,1486,16,13,20000,7350,27350,0.010561056
SIMUL,1,4,1,10,0.3,1574,617,148,760,1525,31,18,20000,7800,27800,0.019695044
SIMUL,1,4,1,10,0.3,1479,646,151,658,1455,10,14,20000,7800,27800,0.006761325
SIMUL,1,4,1,10,0.3,1477,640,140,663,1443,20,14,20000,7250,27250,0.013540961
SIMUL,1,4,1,10,0.3,1492,654,141,675,1470,12,10,20000,7250,27250,0.008042895
SIMUL,1,4,1,10,0.3,1461,653,145,635,1433,16,12,20000,7350,27350,0.010951403
SIMUL,1,4,1,10,0.3,1534,604,142,740,1486,31,17,20000,7400,27400,0.020208605
SIMUL,1,4,1,10,0.3,1508,610,141,731,1482,16,10,20000,7350,27350,0.01061008
SIMUL,1,4,1,10,0.3,1518,646,159,689,1494,10,14,20000,8150,28150,0.006587615
SIMUL,1,4,1,10,0.3,1497,626,146,695,1467,20,10,20000,7550,27550,0.013360053
SIMUL,1,4,1,10,0.3,1520,616,137,710,1463,38,19,20000,7350,27350,0.025
SIMUL,1,4,1,10,0.3,1494,668,146,656,1470,8,16,20000,7500,27500,0.005354752
SIMUL,1,4,1,10,0.3,1524,640,152,691,1483,23,18,20000,7800,27800,0.015091864
SIMUL,1,4,1,10,0.3,1473,633,149,656,1438,13,22,20000,7600,27600,0.008825526
SIMUL,1,4,1,10,0.3,1477,616,143,680,1439,18,20,20000,7350,27350,0.012186865
